index,id,name,artists,danceability,duration_ms,energy,instrumentalness,liveness,popularity,speechiness
119,4PM8jXMbCrcJ2ojw4wl1Sq,Wicked Ambience for 2021,['Classy Cafe Jazz Music'],0.761,105604,0.032,0.875,0.127,0,0.058
120,52ltdJ3gUpdxmoocTzi27T,Background for 2021,['Reading Background Music Playlist'],0.732,105976,0.0311,0.769,0.114,6,0.0778
121,5F9fsP19dBTEJfCqjwj395,Peach Blossom Tree,['Mysterious World Music'],0.276,205775,0.0331,0.959,0.105,4,0.0376
122,5F9fsP19dBTEJfCqjwj395,Peach Blossom Tree,['Mysterious World Music'],0.276,205775,0.0331,0.959,0.105,4,0.0376
123,6BWaZ0WuhSbyo2neCj8lr3,Wicked New Years Resolutions,['Soft Jazz Radio'],0.651,148422,0.0118,0.918,0.126,1,0.182
124,6BWaZ0WuhSbyo2neCj8lr3,Wicked New Years Resolutions,['Soft Jazz Radio'],0.651,148422,0.0118,0.918,0.126,1,0.182
125,0BNXHEtv2SEoB66JaKhViU,Simplistic Music for New Years Resolutions,['Cafe Jazz Relax'],0.607,144057,0.00498,0.905,0.116,1,0.111
126,0BNXHEtv2SEoB66JaKhViU,Simplistic Music for New Years Resolutions,['Cafe Jazz Relax'],0.607,144057,0.00498,0.905,0.116,1,0.111
127,1lYloew9WXEfOp8kFVToI9,The New Year's Eve,"['Tai Chi And Qigong', 'Lu Xuna Qian', 'Shao Kar Wai']",0.2,207805,0.0331,0.884,0.153,0,0.0364
128,1lYloew9WXEfOp8kFVToI9,The New Year's Eve,"['Tai Chi And Qigong', 'Lu Xuna Qian', 'Shao Kar Wai']",0.2,207805,0.0331,0.884,0.153,0,0.0364
129,1elPPwokEjyxxxuG4TNmcA,Background for 2021,['Relaxing Piano Playlist'],0.727,104676,0.0424,0.9,0.122,1,0.0966
130,1elPPwokEjyxxxuG4TNmcA,Background for 2021,['Relaxing Piano Playlist'],0.727,104676,0.0424,0.9,0.122,1,0.0966
131,2shGczB7FEAGzEv2ZGSXt4,Quien La Vio Llorar,['Don Omar'],0.417,185627,0.572,0.00012,0.282,0,0.0401
132,4PLtoNZOVVuD9QRzmHVTR1,Background for 2021,['Sunday Morning Jazz'],0.588,114985,0.0223,0.949,0.108,4,0.309
133,4PLtoNZOVVuD9QRzmHVTR1,Background for 2021,['Sunday Morning Jazz'],0.588,114985,0.0223,0.949,0.108,4,0.309
134,7I20qPy8MdCap5AHcyhLJK,Lonely Music for 2021,['Easy Listening Jazz'],0.737,110806,0.0715,0.903,0.0817,3,0.111
135,5NNDtMHkjdWIT1Qrj2QTsm,Wicked 2021,['Dinner Jazz Playlist'],0.652,129567,0.0114,0.96,0.117,1,0.141
136,5NNDtMHkjdWIT1Qrj2QTsm,Wicked 2021,['Dinner Jazz Playlist'],0.652,129567,0.0114,0.96,0.117,1,0.141
